File,Run,Module,Name,
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,.,X,10
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,.,k,6
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,.,switchTime,2
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,.,t,0.5
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[0].fifo,queueLength:max,2
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[0].fifo,queueLength:mean,0.616279
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[0].router,numSwitch:sum,51
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[1].fifo,queueLength:max,5
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[1].fifo,queueLength:mean,1.22727
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[1].router,numSwitch:sum,57
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[2].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[2].fifo,queueLength:mean,0.992366
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[2].router,numSwitch:sum,71
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[3].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[3].fifo,queueLength:mean,0.877358
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[3].router,numSwitch:sum,55
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[4].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[4].fifo,queueLength:mean,0.892157
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[4].router,numSwitch:sum,49
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[5].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[5].fifo,queueLength:mean,0.849462
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[5].router,numSwitch:sum,61
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[6].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[6].fifo,queueLength:mean,0.854167
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[6].router,numSwitch:sum,58
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[7].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[7].fifo,queueLength:mean,0.863248
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[7].router,numSwitch:sum,60
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[8].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[8].fifo,queueLength:mean,0.735294
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[8].router,numSwitch:sum,57
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[9].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[9].fifo,queueLength:mean,0.794118
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[9].router,numSwitch:sum,54
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[10].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[10].fifo,queueLength:mean,0.968085
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[10].router,numSwitch:sum,53
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[11].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[11].fifo,queueLength:mean,0.833333
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[11].router,numSwitch:sum,60
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[12].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[12].fifo,queueLength:mean,0.833333
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[12].router,numSwitch:sum,52
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[13].fifo,queueLength:max,2
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[13].fifo,queueLength:mean,0.666667
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[13].router,numSwitch:sum,53
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[14].fifo,queueLength:max,6
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[14].fifo,queueLength:mean,1.11644
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[14].router,numSwitch:sum,63
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[15].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[15].fifo,queueLength:mean,0.933962
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[15].router,numSwitch:sum,63
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[16].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[16].fifo,queueLength:mean,1.15789
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[16].router,numSwitch:sum,65
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[17].fifo,queueLength:max,2
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[17].fifo,queueLength:mean,0.707865
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[17].router,numSwitch:sum,58
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[18].fifo,queueLength:max,4
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[18].fifo,queueLength:mean,0.916667
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[18].router,numSwitch:sum,62
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[19].fifo,queueLength:max,2
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[19].fifo,queueLength:mean,0.73913
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[19].router,numSwitch:sum,56
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[20].fifo,queueLength:max,3
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[20].fifo,queueLength:mean,0.863636
../simulations/results//Exponential-5-S2-X10-k6-t0.5.sca,Exponential-575-20161215-08:59:50-8762,AerocomSystem.airCraft[20].router,numSwitch:sum,42
