File,Run,Module,Name,
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,.,X,30
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,.,k,1
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,.,switchTime,8
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,.,t,50
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[0].fifo,queueLength:max,88
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[0].fifo,queueLength:mean,40.0199
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[0].router,numSwitch:sum,4
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[1].fifo,queueLength:max,170
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[1].fifo,queueLength:mean,86.7822
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[1].router,numSwitch:sum,1
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[2].fifo,queueLength:max,67
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[2].fifo,queueLength:mean,19.8716
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[2].router,numSwitch:sum,2
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[3].fifo,queueLength:max,177
../simulations/results//Exponential-5-S8-X30-k1-t50.sca,Exponential-495-20161215-08:51:56-7692,AerocomSystem.airCraft[3].fifo,queueLength:mean,44.6959
