X,AerocomSystem.airCraft[40].router/queueLength:vector
0.80658384563,1
1.190407592808,2
2.321543040329,3
2.54617666094,4
2.654899990776,5
3.537889999347,6
4.363902878017,7
4.600170547121,8
5.198023243618,9
5.563979336367,10
5.622747227313,11
5.974814822207,12
6.024821243614,11
6.464736998065,12
6.729702491686,13
7.72120940457,14
8.365750392799,13
9.89041771701,14
10.343102920958,15
11.053086952749,16
12.021462367774,17
12.712857356116,18
12.940462302088,17
14.723095601957,18
14.730191867995,19
15.347094054742,20
16.44345038166,21
16.722791280211,22
17.419724191898,23
18.036014719378,24
18.158256719829,25
18.597428557861,26
19.188350385516,25
19.645353856299,26
21.161299929126,27
21.268240730653,28
21.366983875845,29
21.560540916791,30
21.673437298219,31
21.976639760441,32
22.046873010127,33
22.236997211828,32
22.528827280599,33
22.998423693167,34
23.693298120589,35
23.74390942822,36
23.895814957986,37
24.008284046439,38
24.193270089845,39
24.955679030235,40
24.995486026174,41
25.39081596755,42
25.436307992998,43
26.021318208845,44
26.56328021445,45
28.38760312456,46
28.659324831568,47
28.66443710515,48
29.00130090362,49
29.26479701226,48
30.373812658629,49
31.198367058018,50
31.879166370662,51
32.333810166391,50
32.389998484805,51
32.438438831038,52
33.347066773257,53
34.519562912899,52
34.626240623785,53
34.86891335623,54
35.047702665902,55
35.670173685346,56
36.095746161886,57
36.739577089347,58
36.885949878968,59
37.033458464859,58
37.185871623685,59
37.668401598483,60
37.675739549011,61
37.796908839973,62
38.284462979242,63
39.116730191141,64
39.629580418403,65
39.996952421769,66
40.368577347361,67
40.590526188352,68
41.102440079778,69
41.231986808585,70
41.354845826414,71
41.67508994059,72
41.68926704525,73
42.181432991685,74
43.123959818853,73
44.58570534067,74
45.414013571022,75
46.376972963125,76
46.924752777467,77
47.019592642685,78
47.044006445065,79
47.174390620248,80
48.124399507583,79
48.442154178397,80
48.950594015122,81
49.184833782737,82
50.180360275381,83
53.326208420354,82
53.335580170841,83
53.58862073257,84
54.972314558025,85
55.625657837862,84
56.100561064323,85
56.105438574051,86
56.898597298396,87
56.981327598387,88
57.655312750639,89
58.544558150495,88
60.38153185302,89
61.37354805964,90
62.221189413387,91
62.326190812826,92
62.976154982536,93
64.06891261116,94
64.380785966584,95
64.672476704019,96
64.817953561415,97
64.84481989766,96
65.110648593769,97
65.2610889729,98
66.357200786781,99
66.910881685713,100
67.83168143298,101
68.04481438772,100
68.263384685545,101
69.319954919666,102
69.77506340781,103
70.287479635476,104
70.916427654642,105
71.476629467511,106
72.300938455301,107
73.058592700511,108
73.209492338501,109
73.380325389164,110
73.540563127914,111
74.243551192271,112
74.375159280764,113
74.706695658479,114
74.937506907823,115
74.938827887163,116
74.99294717384,117
75.162599893679,118
75.288691546479,117
75.7601833146,118
76.447340927024,119
76.829952587793,120
76.875730105557,121
76.997604913422,122
77.473633345285,123
77.726306316974,122
78.303123960416,123
78.337067935044,124
79.24661869745,125
79.848926712187,126
79.88865540824,127
79.940136663581,128
79.94093547389,129
80.070898804983,130
80.876938399825,131
81.019970254822,132
81.277236446781,131
81.554366337201,132
82.353059300578,133
82.864911771504,134
83.039868887643,135
83.222581192391,136
83.660783844285,135
84.531974545529,136
84.997959805091,137
85.327342115382,138
85.694294151367,139
86.27731562239,138
86.780161146903,139
86.917805428271,140
87.494675065815,141
87.773432531937,142
88.454713778012,143
89.009037369767,144
89.178557931,145
89.523762415409,146
90.530229802157,147
90.727441048376,148
90.750611458197,147
91.639232978924,148
93.055721430036,149
93.180273234285,150
93.727440006858,151
93.763469460691,152
95.153178751886,153
96.167347390423,154
96.645810953391,153
97.669738996727,154
97.770765012456,155
97.882130939344,156
99.286583226657,157
99.662712061144,158
100.013278174479,159
100.403182522382,160
100.412902238162,161
101.101068883576,162
101.640608304405,161
102.110102722309,162
103.74377365423,163
103.885139863803,164
103.887713361757,163
104.552232261774,164
105.077980637649,165
105.591941744496,166
106.102995891224,167
106.477547242451,168
106.644602506576,169
107.550508572475,170
107.941394827564,171
108.92399963149,172
109.479259527538,173
109.598487919084,174
109.86096029662,175
109.935545396079,174
111.115726228991,175
111.852221060989,176
112.532316032247,177
112.732986472852,178
112.931192467856,179
113.753327618041,180
115.374005804484,181
115.845851485345,182
116.454188778543,183
117.157096067347,182
117.835485279176,183
118.896117087146,184
119.421579983124,183
119.488154287345,184
119.872563619006,185
120.262288492108,186
120.913670749729,187
121.145169145343,188
122.145174327637,189
122.512402177855,190
122.64346845433,191
122.779686124149,190
122.855422877936,191
122.94190557397,192
122.963528633601,193
123.391130676436,194
124.073183989885,195
124.117809821199,196
124.565551615609,197
124.605140628484,198
124.971051575785,199
125.515805589892,200
125.648041134695,201
125.727814552741,202
126.73178466129,203
126.777959634618,204
126.930662100305,205
126.964540657692,206
127.653664029012,207
128.06132655053,206
128.299828476064,207
128.525351651991,208
129.244456008417,209
129.257193592384,210
129.498647055074,211
130.076257457739,212
130.095980872586,213
130.591110574654,214
131.068561795761,215
131.081198103465,216
131.146350319089,217
131.189905705553,218
132.107375994354,217
132.227901284623,218
132.697143184367,219
132.802110480812,220
132.85642002053,221
133.033540813096,222
133.680027470533,223
134.249957094757,224
134.277573249219,225
134.628193304289,226
135.030072202829,227
135.382657022121,228
135.397569396369,229
136.435844995501,230
138.211252654441,231
138.540804547785,232
138.945565038047,233
138.983170134167,234
139.128406422758,233
139.248419954973,234
139.290299109898,235
139.426077938049,236
139.494212175803,237
140.236995494781,238
141.146497386665,239
141.548771369815,240
141.597796413227,241
141.811597721219,240
141.99588265114,241
142.321895061745,242
142.434904090425,243
142.440628386888,244
142.4993663482,245
144.195805111881,246
144.225952460055,247
144.271291875979,248
144.407452745367,249
145.849960387085,250
146.034658927954,251
146.109465604231,252
146.488853907499,253
147.058267081419,252
147.218673052898,253
147.222279069287,254
147.391493648566,255
148.66303183143,256
149.224536945621,255
149.645813653453,256
150.609989939257,257
150.825157138274,258
151.506577921887,257
151.798718931711,258
152.43262928782,259
152.437281258533,260
152.827956465972,261
153.195425587609,262
153.764059007827,263
153.973025727344,264
155.778806268205,265
155.949329293529,266
156.137935031403,265
156.279655648248,266
157.298654782046,267
157.468587398397,268
157.642095364731,269
157.738216325641,270
158.624026476253,271
159.022282297359,272
159.883561284454,273
160.665956789826,274
160.971708524608,275
162.479111437988,274
162.582863112672,275
162.848682943839,276
163.512587529316,277
163.61984278629,278
163.727282346061,279
163.942924199927,280
164.317576089664,281
164.621317290543,282
164.805998358915,283
165.23771107101,282
165.378478750431,283
165.554105486952,284
165.722602184309,285
165.776360908598,286
166.101944493113,287
166.224715350052,288
166.574978071255,289
166.866737537073,290
166.913971876648,291
167.608429067247,292
167.772218758024,293
168.289261291428,294
168.837216770844,295
169.744179300974,294
170.432802424579,295
170.715983420399,296
171.12487142574,297
171.353007236089,298
172.2309359873,299
172.850445354681,300
173.539105389592,301
174.192494351072,302
174.34953209925,303
175.376886600999,304
175.598408743716,305
176.641321956078,306
177.179843815231,307
177.276735269715,308
177.439176387828,307
178.692536729026,308
178.830264025294,309
179.233947555898,310
180.661692717585,311
180.924766153539,312
180.997156186703,313
181.301865703962,314
181.317058129648,315
181.376137533802,314
182.061199011359,315
182.651455881631,316
183.026109127878,317
183.033982064364,318
183.159294761222,319
183.548607066008,320
184.533267140879,321
185.078410525601,322
185.198328233593,323
185.309817697122,324
185.458146113376,325
185.731401166016,326
185.936983965094,327
186.252775580886,328
186.454838756629,329
187.091381708735,330
187.210241042353,331
187.925274605334,330
189.115687984007,331
189.846929435127,332
190.384931516945,333
191.273333625196,334
191.73119881501,335
191.913290162541,334
192.383367749861,335
192.531143177308,336
194.124740958754,337
194.451440900541,338
195.26218728592,339
195.563544300475,340
195.689927413602,341
197.208973849149,340
197.591440636139,341
198.639750310126,342
199.083616832681,343
199.116058779966,344
200.55670517533,345
200.712513431151,346
200.723547097425,345
201.134852798237,346
201.994368480067,347
202.538275921442,348
202.746287504788,349
203.05490528023,350
203.066377781402,351
204.357000162854,352
205.846482118256,353
206.192454345344,352
206.36518977867,353
206.456973580538,354
206.961842603031,355
207.079070367515,356
207.543297360165,357
207.731267345102,358
208.681349264043,357
209.068796060707,358
209.423156331832,359
210.407629951486,360
210.8958059706,361
211.719248350037,362
213.080688972081,363
213.694240627341,362
213.805664598778,363
214.448191289374,364
214.628441022206,365
214.65479372801,366
215.211757078465,367
215.228682399914,368
215.89061693556,369
216.15376687437,370
216.815299286418,369
216.948704319452,370
217.280317574625,371
218.040216023124,372
218.182187354402,373
218.501788074575,374
219.499000716753,375
219.60065126727,374
219.894436268583,375
219.90781562027,376
220.806789007343,377
221.104942839328,378
221.186287431823,379
221.445000408639,380
223.279817246525,381
223.351213201894,382
223.414022278669,381
223.854616540349,382
224.017657127412,383
225.634057062867,384
226.54226215469,385
227.114947015466,386
227.517590828446,387
227.792387434411,388
227.996864669867,389
228.108521663534,390
229.374169370783,391
230.343381043312,390
230.463593837407,391
230.802927856978,392
230.893351982139,393
231.33001862374,394
231.576516635682,395
231.894214860664,396
232.324693968478,397
233.481705526213,396
233.958375094744,397
234.212486846773,398
235.61145757253,399
235.67775543233,400
235.776869489412,401
235.852256259654,402
236.084906262268,401
236.718912498075,402
236.902250085976,403
237.344359927692,404
239.046911669354,405
239.671872626612,404
241.222390942576,405
241.488017903736,406
243.740357511291,407
244.4364119277,408
246.06050225049,407
248.803284818747,408
249.015725691504,409
249.261583374291,410
249.349404732107,409
249.555708736494,410
249.598814188014,411
250.442315122632,412
250.891032016037,413
250.97556239204,414
252.173678516343,415
252.427093834402,416
252.926268497884,415
253.440148563003,416
254.235409941016,417
254.458828197424,418
254.853088509371,419
255.766546831821,418
256.067087381226,419
256.167058554983,420
256.800278387476,421
257.2692897115,422
257.7030523905,423
258.017653137263,424
258.762489512976,425
258.763506799355,426
258.849802672715,427
258.928545131806,426
258.957257105757,427
259.012866798488,428
259.689386170831,429
260.809835645027,430
260.878468140173,431
261.163334450982,432
261.4598401646,433
261.728932738676,434
262.21392328666,435
263.700246305103,436
263.836141321766,437
264.686504421316,438
264.735132550644,439
265.086146161566,438
265.777656996845,439
266.073286375518,440
266.155657044038,441
266.545243954858,442
266.564380729263,443
266.684847186563,444
266.858149187229,445
268.145294858384,446
268.576162382801,447
268.593205120242,448
268.742599811547,449
269.094401747422,450
269.44909081332,451
269.785347223109,452
269.927696728302,451
270.038406077248,452
270.141161299016,453
270.591344339585,454
270.607680342454,455
270.790586104806,456
270.814706766384,457
271.243249866809,458
271.666232562379,459
272.305167127646,460
272.552780473702,461
272.558027707776,460
272.690743499168,461
273.232377987097,462
273.959799738619,463
274.399523823475,464
274.92483369057,465
274.934108585976,466
275.674430729848,467
275.784307718717,466
276.492894709941,467
276.913595007012,468
277.678593663775,469
278.232682085676,470
278.445939913364,471
278.904697185417,472
280.416659603252,473
281.029041129151,474
282.143027465775,473
282.292070790841,474
282.505404259474,475
282.771562344772,476
282.808624257667,477
282.887127329978,478
282.909553071641,479
282.982655546079,480
283.32361658956,481
283.550227217627,482
283.794787487395,483
284.056126371791,484
284.29243529426,483
284.737788590298,484
285.406370439709,485
285.412430738198,486
285.487336230607,487
287.604411151285,486
288.032644850461,487
288.892447449234,488
289.481758994453,489
289.836042938782,490
289.902268504133,491
290.180414774046,492
290.258237155784,493
291.693470694963,494
292.072277058173,495
292.136746941988,496
292.928464606635,497
293.566732439497,498
293.835648755856,499
293.997911672384,500
294.118398339902,501
294.971953225656,502
295.182738686456,503
295.42164673028,502
296.019667166813,503
296.104531690141,504
296.292545959528,505
297.635140218649,506
297.91809548697,507
298.03531789992,508
298.358086538072,509
298.941688225451,510
299.349316337775,509
299.368764604474,510
299.972702802665,511
300.417693519985,512
301.066862003926,513
301.682070733326,514
302.511032568549,515
303.035790368107,516
303.671036631952,517
303.739977787473,518
303.790946209332,519
305.367196979863,520
305.714339701288,521
306.470351407331,522
307.556043708992,523
308.069316937566,522
308.767578286682,523
308.779031492763,524
309.276779866048,525
309.48987095799,526
310.881289255441,527
311.344280590692,526
311.844741169677,527
312.652332116699,528
312.714654511485,529
312.831924844063,530
312.934071854168,531
313.232905021946,532
314.625646903887,533
315.272352872911,534
315.720607158088,535
315.929304800589,536
315.944664765573,537
316.267162189878,538
316.556977743541,539
316.86088861186,538
317.768486477835,539
317.835680438863,540
318.687783808761,541
319.564353496168,542
319.765649114933,543
319.784193788898,542
320.345547728991,543
320.79994662881,544
321.350866606512,545
322.037899972805,544
322.599647015003,545
322.752493645713,546
324.256198529936,547
324.754443103298,548
324.785621798387,549
325.470092394369,550
326.098405596924,551
326.302116587294,550
326.687674632788,551
326.754774931524,552
326.884951781545,553
327.762925008788,554
328.153018751212,555
328.611949103788,556
328.694429207473,555
328.954027313694,556
329.437361246514,557
329.465401609867,558
329.852197707323,559
330.200417628961,560
330.404832497669,561
330.6947866815,562
330.903210182045,563
330.968932616302,564
332.658270637816,563
332.701290552542,564
332.814807906504,565
333.177078543949,566
333.812284729146,567
333.970741619025,568
334.925830044715,569
335.048703791375,570
335.503774271548,571
335.735913135507,572
335.885524089962,573
336.904486384626,574
337.458874174094,575
338.390053364457,576
338.581030557677,577
338.724412157002,578
338.726492721406,579
338.938001580698,580
339.236049462878,579
339.748430038644,580
340.230983768259,581
340.4401927652,582
341.119334536137,583
341.82913056763,582
341.929088216193,583
342.073024431003,584
342.204577244581,585
342.697981154851,586
343.118682947938,587
343.122604778842,588
344.132433615038,589
344.530711263568,590
344.656264970738,591
345.113124242198,590
345.350477844241,591
345.772595465666,592
346.044100611069,593
346.589927309245,594
346.752426600365,595
347.379517564216,594
347.46409076342,595
347.645253264061,596
348.124532097274,597
348.664037995795,598
349.048574090115,599
349.123202260372,600
349.622466970308,601
350.018179287686,600
351.173495832097,601
351.3884362595,602
351.451606194389,603
351.568217556546,604
352.489408391528,603
352.52873602331,604
352.641466791568,605
354.480062733377,606
354.930769051906,607
355.435863132298,608
355.437670675569,607
355.880908936439,608
357.028483982223,609
357.174144194088,610
357.294382406797,611
358.384795236503,612
360.120040806312,613
362.051725435539,614
362.163201578869,615
362.286575738027,616
362.72438622146,615
363.011800843137,616
363.1529659367,617
363.598952702826,618
363.918647564569,619
364.987073832492,618
366.034300301014,619
366.201319219691,620
366.252986427095,621
366.834987336845,622
367.060512618249,623
367.448691637282,624
368.500472658482,625
368.531256695567,624
369.397099270879,625
369.655898770073,626
370.123958412591,627
370.139541305132,628
370.189749608132,629
370.388771302347,630
370.748657579558,631
370.855103287902,632
371.195621783443,631
372.035002490559,632
372.596733855248,633
372.845659423649,634
372.959054175968,635
373.796299471453,634
374.251452685256,635
374.567402454301,636
374.667979015063,637
374.867093050949,638
375.464993883718,639
375.81826586583,640
376.626288037135,639
377.044953298683,640
377.821927694589,641
378.318382475009,642
378.764086168183,643
379.385103270714,644
379.812282140344,645
380.979475999175,646
381.794044427189,647
382.727815940145,646
383.599079198215,647
384.232353437984,648
384.785934611741,649
384.846871303377,650
385.428043946495,651
385.641034217373,652
386.083762269943,653
386.313393895433,654
386.690564834227,655
386.8932324842,656
387.325577619136,657
388.566915746127,658
389.405573772021,659
389.44131280467,660
390.614519505238,661
390.760537069238,662
390.904043687963,663
391.16152733676,664
391.854693120479,663
392.030808775756,664
393.504185203814,665
393.755362028045,666
394.25797419577,667
394.410195485397,668
394.461652974744,669
394.481769509188,670
394.673737296411,671
394.763849935821,672
394.798484569944,673
395.882177891936,674
396.988303342816,673
397.035479923582,674
397.172479074787,675
397.36532475677,676
399.201127577273,677
400.303539025999,678
401.729676197322,679
402.06502522677,680
402.471371474634,681
402.52144377823,680
402.597284364179,681
403.158106678107,682
403.517649129913,683
404.766626215083,684
405.08507431882,685
405.194036177162,686
405.243248757648,687
405.76785030172,688
406.288445186398,689
406.4082761965,688
407.654807673262,689
407.699327429218,690
408.672034037173,691
409.633660494423,692
409.779265966636,693
410.803784301915,694
410.933320051989,695
411.189666684752,696
411.748671604518,695
413.825738990013,696
414.055898806673,697
415.335601432352,698
415.620185950469,699
415.773735930915,700
416.020985021985,701
416.138147807804,702
416.276180883664,703
416.36462518626,704
416.563973262208,705
416.710602482228,704
417.717214965411,705
418.384384576942,706
418.853708015902,707
419.227728671666,708
419.546868069083,709
419.579350472111,710
420.057488471433,711
420.450774680878,712
420.457049584915,713
420.669091057639,714
422.555707032711,715
423.200516724657,716
423.576668347906,717
425.02124638944,716
425.225341916433,717
425.623221035712,718
426.251262020142,719
426.70501332704,720
427.346054019684,721
427.482126493691,722
427.87146023361,723
427.994264858325,724
428.020542327204,725
428.129923584314,726
428.571696610606,725
428.640490447105,726
428.745500031483,727
428.811803594053,728
430.721913156343,729
431.191818170787,730
431.633480251365,731
432.159193187919,732
432.17120950612,733
432.258250318742,734
432.405774442777,735
432.445621127678,736
432.67977368811,737
433.274108057233,738
434.945244832018,739
434.971771459033,740
435.376059416681,739
436.061449985073,740
436.250392090959,741
436.419467169334,742
437.301297292031,743
438.486550024458,744
438.988973098251,745
439.402770440755,746
439.428118081115,745
440.032458305865,746
441.036899152929,747
441.79616067378,746
442.608357425097,747
442.644303207249,748
443.609436574213,749
444.042739240985,750
444.277382040014,749
444.499001283152,750
445.574854797114,751
445.915046343175,752
446.68431691831,753
447.289228834513,754
447.724589762428,753
447.909005295757,754
448.033022724867,755
449.287712653845,756
449.391189927819,757
449.748496387093,758
449.919150186128,759
450.044700794142,760
450.367984857037,761
450.727048751798,762
450.793493811827,763
451.118914241149,764
451.255612790239,765
451.299839976021,766
451.936353083193,767
452.167051572266,768
452.579176757766,769
452.614098522694,770
452.95821490335,771
453.001695871768,772
453.179882731683,773
453.892728012767,774
454.537500989222,773
454.94133170429,774
456.014985438603,775
456.277871583516,776
457.551788620711,777
457.816687456291,778
457.87092393175,779
458.119435610465,780
458.311414928346,781
458.422793468331,780
458.676873371939,781
458.820774652377,782
459.454648192983,783
459.552326988986,784
460.257430691944,785
460.471378887988,786
460.641217596585,787
